"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Cuba","CUB","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.58","2.31","2.24","2.3","2.97","","4.236","","","","","","","","","","","","",
"Curacao","CUW","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.88","","25.41","","","","",
"Cayman Islands","CYM","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.86","7.14","7.55","7.6","5.72","","","","","","","","","",
"Cyprus","CYP","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.728","5.887","5.201","3.918","5.192","6.171","6.449","4.911","4.871","5.05","6.356","7.173","7.573","14.101","20.009","19.966","18.714","15.498","13.803","9.725","7.59","7.181","7.892","7.737","5.854","5.664",
"Czechia","CZE","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.22","13.48","16.038","20.847","23.318","23.324","20.667","22.466","26.103","26.709","24.455","20.057","19.034","24.108","25.016","24.249","28.51","25.654","22.092","22.692","20.466","12.992","10.637","10.696","10.4","12.861","12.477","11.28","12.086",
"Germany","DEU","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.995","11.175","13.381","12.736","13.326","14.995","14.93","13.89","12.527","11.549","13.338","15.726","17.622","19.034","19.326","17.52","15.448","16.262","15.113","13.432","12.148","12.097","11.572","11.166","10.1","9.615","8.852","7.947","9.439","7.686","6.577","6.274","6.957",
"Djibouti","DJI","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.827","","","","","","","",
"Dominica","DMA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.064","13.005","10.428","10.205","10.443","8.322","7.464","7.74","6.234","6.131","6.917","8.453","7.36","7.388","6.448","5.619","6.083","10.037","11.983","12.371","12.643","12.234","11.373","10.42","9.177","9.674","8.612","8.403","9.407","8.438","7.635","8.746","10.716",
"Dominican Republic","DOM","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.505","8.309","7.733","7.75","6.574","7.126","5.973","5.762","4.717","5.843","5.898","6.452","7.497","7.678","6.118","7.159","6.482","4.899","4.861","4.766","4.08","5.952","4.463","4.471","4.575",
